Gen.	Eval. 	Time	Best 	Average & Stdev	
1	28	32.5062	3.05145e+07	2.96021e+07 652109	
2	42	46.2291	3.05145e+07	3.00092e+07 294785	
3	52	55.9069	3.07149e+07	3.01183e+07 287408	
4	61	64.8146	3.07149e+07	3.01995e+07 289872	
5	79	82.8104	3.08002e+07	3.02978e+07 289586	
6	88	91.897	3.08002e+07	3.04225e+07 239807	
7	99	102.256	3.08479e+07	3.05538e+07 198011	
8	114	116.953	3.08479e+07	3.0677e+07 103595	
9	124	126.421	3.08479e+07	3.06999e+07 97527.7	
10	139	141.148	3.08479e+07	3.06813e+07 147257	
11	156	158.248	3.08803e+07	3.07281e+07 132851	
12	172	173.744	3.08803e+07	3.07825e+07 75912.9	
13	186	187.909	3.09817e+07	3.08068e+07 113705	
14	200	201.409	3.09875e+07	3.08633e+07 76397.9	
15	212	212.516	3.09875e+07	3.08808e+07 110856	
16	227	226.504	3.12829e+07	3.09571e+07 116569	
17	245	242.72	3.12829e+07	3.09987e+07 78431.3	
18	261	258.062	3.12829e+07	3.10274e+07 91759.6	
19	271	267.494	3.13907e+07	3.10621e+07 105293	
20	286	282.043	3.13907e+07	3.10784e+07 154144	
21	297	292.701	3.13907e+07	3.11055e+07 129060	
22	307	302.395	3.13907e+07	3.11521e+07 127887	
23	320	314.417	3.13907e+07	3.11694e+07 152130	
24	336	328.921	3.13907e+07	3.12461e+07 108012	
25	346	338.269	3.14046e+07	3.12896e+07 107742	
26	353	344.827	3.14046e+07	3.13392e+07 98112.9	
27	364	355.352	3.18074e+07	3.13912e+07 103587	
28	373	364.209	3.18074e+07	3.14062e+07 95709.8	
29	385	375.718	3.18078e+07	3.14415e+07 132726	
30	395	385.456	3.21297e+07	3.1564e+07 215024	
31	407	397.254	3.21297e+07	3.16101e+07 203082	
32	420	409.893	3.21297e+07	3.1606e+07 251395	
33	427	416.621	3.21297e+07	3.17597e+07 199295	
34	442	431.215	3.21297e+07	3.17511e+07 216524	
35	450	438.714	3.21297e+07	3.18077e+07 288062	
36	459	447.315	3.21767e+07	3.19731e+07 245662	
37	466	453.95	3.21907e+07	3.20473e+07 134442	
38	475	462.559	3.21907e+07	3.21084e+07 89295.2	
39	481	468.051	3.26254e+07	3.21683e+07 112090	
40	492	478.099	3.26254e+07	3.22174e+07 139757	
41	503	488.967	3.26254e+07	3.22785e+07 199118	
42	512	497.701	3.26303e+07	3.23411e+07 175031	
43	521	506.402	3.26303e+07	3.24098e+07 169827	
44	529	514.451	3.27459e+07	3.24867e+07 191166	
45	541	526.188	3.27638e+07	3.25197e+07 177414	
46	553	537.911	3.30022e+07	3.25718e+07 227264	
47	566	550.578	3.30022e+07	3.26289e+07 334212	
48	577	560.814	3.30302e+07	3.27766e+07 337543	
49	592	574.715	3.31236e+07	3.29746e+07 97329	
50	606	587.602	3.31236e+07	3.30186e+07 38755.5	
51	622	602.894	3.31236e+07	3.30416e+07 48096.2	
52	637	617.82	3.32176e+07	3.30485e+07 70353.9	
